No.,유지관리번호,작업유형,시공사,고객사,유지관리명,진척률,작업기간,,비용계정,PO금액,PR번호,PO번호
,,,,,,,시작,종료,,,,
68,CI25016118,사택 공가 수장공사,일성건축,솔루션,사택 2-103 수장작업,100,2025-10-30,2025-11-07,기숙사/사택 수선비,"3,465,800",93097619-10,4570125537-10
69,CI25016402,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-305 세대내 보일러 납품,10,2025-11-28,2025-11-28,투자,"1,075,000",93100035-60,4570128165-10
70,CI25016401,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-302 세대내 보일러 납품,100,2025-11-26,2025-11-26,투자,"1,075,000",93100035-50,4570128164-10
71,CI25016240,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-201 세대내 보일러 납품,100,2025-11-26,2025-11-26,투자,"1,075,000",93099154-20,4570127483-10
72,CI25016407,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-405 세대내 보일러 납품,100,2025-11-25,2025-11-25,투자,"1,075,000",93100036-20,4570128170-10
73,CI25016395,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-103 세대내 보일러 납품,100,2025-11-24,2025-11-24,투자,"1,075,000",93100034-80,4570128158-10
74,CI25016405,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-403 세대내 보일러 납품,100,2025-11-24,2025-11-24,투자,"1,075,000",93100035-90,4570128168-10
75,CI25016406,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-404 세대내 보일러 납품,100,2025-11-24,2025-11-24,투자,"1,075,000",93100036-10,4570128169-10
76,CI25016244,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-301 세대내 보일러 납품,100,2025-11-21,2025-11-21,투자,"1,075,000",93099154-60,4570127526-10
77,CI25016245,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-303 세대내 보일러 납품,100,2025-11-21,2025-11-21,투자,"1,075,000",93099154-70,4570127527-10
78,CI25016404,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-402 세대내 보일러 납품,100,2025-11-21,2025-11-21,투자,"1,075,000",93100035-80,4570128167-10
79,CI25016241,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-203 세대내 보일러 납품,100,2025-11-20,2025-11-20,투자,"1,075,000",93099154-30,4570127484-10
80,CI25016242,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-204 세대내 보일러 납품,100,2025-11-20,2025-11-20,투자,"1,075,000",93099154-40,4570127485-10
81,CI25016389,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-404 세대내 보일러 납품,100,2025-11-20,2025-11-20,투자,"1,075,000",93100034-20,4570128152-10
82,CI25016394,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-505 세대내 보일러 납품,100,2025-11-20,2025-11-20,투자,"1,075,000",93100034-70,4570128157-10
83,CI25016239,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-404 세대내 보일러 납품,100,2025-11-19,2025-11-19,투자,"1,075,000",93099154-10,4570127482-10
84,CI25016400,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-205 세대내 보일러 납품,100,2025-11-19,2025-11-19,투자,"1,075,000",93100035-40,4570128163-10
85,CI25016403,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-306 세대내 보일러 납품,100,2025-11-19,2025-11-19,투자,"1,075,000",93100035-70,4570128166-10
86,CI25016228,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-104 세대내 보일러 납품,100,2025-11-18,2025-11-18,투자,"1,075,000",93098274-20,4570127522-10
87,CI25016238,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-403 세대내 보일러 납품,100,2025-11-18,2025-11-18,투자,"1,075,000",93098274-90,4570127481-10
88,CI25016396,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-105 세대내 보일러 납품,100,2025-11-18,2025-11-18,투자,"1,075,000",93100034-90,4570128159-10
89,CI25016230,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-203 세대내 보일러 납품,100,2025-11-17,2025-11-17,투자,"1,075,000",93098274-40,4570127524-10
90,CI25016231,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-204 세대내 보일러 납품,100,2025-11-17,2025-11-17,투자,"1,075,000",93098274-50,4570127477-10
91,CI25016397,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-201 세대내 보일러 납품,100,2025-11-17,2025-11-17,투자,"1,075,000",93100035-10,4570128160-10
92,CI25016390,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-406 세대내 보일러 납품,100,2025-11-14,2025-11-14,투자,"1,075,000",93100034-30,4570128153-10
93,CI25016391,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-502 세대내 보일러 납품,100,2025-11-14,2025-11-14,투자,"1,075,000",93100034-40,4570128154-10
94,CI25016392,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-503 세대내 보일러 납품,100,2025-11-14,2025-11-14,투자,"1,075,000",93100034-50,4570128155-10
95,CI25016393,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-504 세대내 보일러 납품,100,2025-11-14,2025-11-14,투자,"1,075,000",93100034-60,4570128156-10
96,CI25016243,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-206 세대내 보일러 납품,100,2025-11-13,2025-11-13,투자,"1,075,000",93099154-50,4570127525-10
97,CI25016246,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-304 세대내 보일러 납품,100,2025-11-13,2025-11-13,투자,"1,075,000",93099154-80,4570127528-10
98,CI25016247,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-402 세대내 보일러 납품,100,2025-11-13,2025-11-13,투자,"1,075,000",93099154-90,4570127529-10
99,CI25016388,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 102-403 세대내 보일러 납품,100,2025-11-13,2025-11-13,투자,"1,075,000",93100034-10,4570128151-10
100,CI25016227,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-101 세대내 보일러 납품,100,2025-11-12,2025-11-12,투자,"1,075,000",93098274-10,4570127521-10
101,CI25016236,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-303 세대내 보일러 납품,100,2025-11-12,2025-11-12,투자,"1,075,000",93098274-70,4570127479-10
102,CI25016237,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-402 세대내 보일러 납품,100,2025-11-12,2025-11-12,투자,"1,075,000",93098274-80,4570127480-10
103,CI25016235,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-302 세대내 보일러 납품,10,2025-11-28,2025-11-28,투자,"1,075,000",93098274-60,4570127478-10
104,CI25015381,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-102 세대내 고장 보일러 납품,100,2025-10-21,2025-10-24,투자,"1,075,000",93091689-10,4570118053-10
105,CI25016399,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-204 세대내 보일러 납품,100,2025-10-18,2025-10-18,투자,"1,075,000",93100035-30,4570128162-10
106,CI25015098,사택 세대내 보일러 교체(개별),귀뚜라미보일러,화학,사택 104-203외 7세대 보일러 납품,100,2025-10-14,2025-10-17,기숙사/사택 수선비,"7,525,000",94491413-10,4510046462-10
107,CI25016692,사택 공가 수장공사,일성건축,솔루션,사택 8-303 씽크대 상하부장 문짝교체,100,2025-11-11,2025-11-14,기숙사/사택 수선비,"1,174,975",93102584-20,4570131457-10
108,CI25016693,기타 보수(기숙사/사택),일성건축,솔루션,기숙사 A동 501-6호외 2세대 도배,10,2025-11-19,2025-11-19,기숙사/사택 수선비,"1,263,125",93102584-10,4570131456-10
109,CI25016997,기타 보수(기숙사/사택),일성건축,솔루션,기숙사 A동 303-2 세대내 친환경 도장 작업(샘플),100,2025-11-18,2025-11-21,기숙사/사택 수선비,"493,425",93104795-10,4570133306-10
110,CI25016996,사택 씽크대 문짝 교체,일성건축,솔루션,사택 5-403 씽크대 상하부장 문짝교체,10,2025-11-27,2025-11-30,기숙사/사택 수선비,"1,174,975",93104795-20,4570133307-10
111,CI25016696,임차사택 공가 수장공사,일성건축,솔루션,임차사택 수장작업 최정환(선행개발),0,2026-01-02,2026-01-02,기숙사/사택 수선비,"3,456,125",93102554-10,4570131455-10
112,CI25017150,긴급 건축 보수(후정산),일성건축,솔루션,기숙사 및 사택 긴급 작업(건축)-8차,10,2025-11-12,2025-12-31,기숙사/사택 수선비,"4,897,700",93106016-10,4570134865-10
113,CI25017285,사택 누수보수,일성건축,솔루션,사택 101-101 베란다 누수보수(전후면),100,2025-11-24,2025-11-25,기숙사/사택 수선비,"1,431,900",93106018-10,4570135641-10
114,CI25017284,사택 공가 수장공사,일성건축,솔루션,사택 101-101 수장작업,0,2025-11-24,2025-12-05,기숙사/사택 수선비,"5,792,100",93106018-20,4570135642-10
115,CI25017283,사택 단열작업,일성건축,솔루션,사택 101-101 작은방 단열작업,100,2025-11-24,2025-11-24,기숙사/사택 수선비,"738,525",93106018-30,4570135643-10
116,CI25017282,사택 공가 수장공사,일성건축,솔루션,사택 101-303 수장작업,0,2025-11-24,2025-12-05,기숙사/사택 수선비,"5,792,100",93106018-40,4570135644-10
117,CI25017281,사택 누수보수,일성건축,솔루션,사택 102-403 베란다 누수보수(전후면),100,2025-11-25,2025-11-26,기숙사/사택 수선비,"1,431,900",93106018-50,4570135645-10
