회계 연도,매입 마감 (월),발주처,비용배분,S&I 센터,작업유형,장소,건물동,계약명,낙찰금액, PO금액,PO번호,PR번호,PR금액,담당,부서,전체 세대수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-201 수장공사,336000,361200,4506763063-10,85315981-40,490000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-301 수장공사,1599000,1718925,4506763687-10,85315981-30,3300000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-401 수장공사,1041000,1119075,4506763686-10,85315981-20,1900000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-501 수장공사,1071000,1151325,4506763062-10,85315981-10,1980000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 화장실 타일 보수 작업,1700000,1827500,4506767860-10,85323539-40,3200000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 5동,사택 5동 출구 주차장 차단기 수리,1663000,1787725,4506768428-10,85323539-10,1800000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-503 수장공사,1100000,1182500,4506767858-10,85323539-20,2000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-202 수장공사,1075000,1155625,4506767856-10,85323536-10,1900000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-304 수장공사,1100000,1182500,4506767859-10,85323539-30,1900000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-501 수장공사,2000000,2150000,4506767857-10,85323536-20,3800000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
